mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,21,57302,59.3968611,24.66726,-73,1557038051000,3.0,0.048951022,116.0,EDGE,,,,,,,
248,2,21,57302,59.3968611,24.66726,-73,1557038051000,3.0,0.048951022,116.0,EDGE,,,,,,,
248,2,21,57302,59.3968765,24.6672519,-73,1557038057000,3.0,0.009564224,136.0,EDGE,,,,,,,
248,2,21,57302,59.3968731,24.6672676,-73,1557038062000,3.0,0.14687124,136.0,EDGE,,,,,,,
248,2,21,57302,59.3968605,24.6672414,-73,1557038068000,3.0,0.7702372,269.0,EDGE,,,,,,,
248,2,21,57302,59.3968186,24.6671937,-73,1557038073000,3.0,1.6743605,176.0,EDGE,,,,,,,
248,2,21,57302,59.3967344,24.6672228,-73,1557038079000,3.0,1.7267482,100.0,EDGE,,,,,,,
248,2,21,57302,59.3967415,24.6675428,-73,1557038085000,3.0,2.3938303,79.0,EDGE,,,,,,,
248,2,21,57302,59.3967741,24.6678705,-73,1557038090000,3.0,2.7962394,73.0,EDGE,,,,,,,
248,2,21,57302,59.3968011,24.6682247,-73,1557038096000,3.0,2.954969,113.0,EDGE,,,,,,,
248,2,21,57302,59.3968133,24.6684649,-73,1557038101000,3.0,2.763365,81.0,EDGE,,,,,,,
248,2,21,57302,59.3968429,24.6688543,-73,1557038107000,3.0,3.1736038,81.0,EDGE,,,,,,,
248,2,21,57302,59.3969104,24.6691906,-73,1557038112000,3.0,3.403138,58.0,EDGE,,,,,,,
248,2,21,57302,59.3969956,24.6695919,-73,1557038118000,3.0,3.6397805,72.0,EDGE,,,,,,,
248,2,21,57302,59.3970604,24.6700459,-73,1557038124000,3.0,3.91622,75.0,EDGE,,,,,,,
248,2,21,57302,59.3971051,24.6704791,-73,1557038130000,3.0,3.9618337,73.0,EDGE,,,,,,,
248,2,21,57302,59.3971486,24.6708756,-73,1557038136000,3.0,3.8271894,79.0,EDGE,,,,,,,
248,2,21,57302,59.3971437,24.6711934,-73,1557038141000,3.0,3.746932,117.0,EDGE,,,,,,,
248,2,21,57302,59.3970841,24.6714693,-73,1557038146000,3.0,3.5349429,79.0,EDGE,,,,,,,
248,2,21,57302,59.3971707,24.6716323,-73,1557038152000,3.0,3.1414065,25.0,EDGE,,,,,,,
248,2,21,57302,59.3973296,24.6716641,-73,1557038157000,3.3,3.181743,351.0,EDGE,,,,,,,
248,2,21,57302,59.3975029,24.6716065,-73,1557038162000,3.0,3.187801,346.0,EDGE,,,,,,,
248,2,21,57302,59.3976974,24.6715405,-73,1557038168000,3.0,3.145851,3.0,EDGE,,,,,,,
248,2,21,57302,59.3978457,24.6715984,-73,1557038173000,3.0,3.268045,25.0,EDGE,,,,,,,
248,2,21,57301,59.3980491,24.6716998,-73,1557038179000,3.0,3.4851372,3.0,EDGE,,,,,,,
248,2,21,57301,59.3982023,24.671706,-73,1557038184000,3.0,3.5171833,0.0,EDGE,,,,,,,
248,2,21,57301,59.3983982,24.6716457,-73,1557038190000,3.0,3.395874,325.0,EDGE,,,,,,,
248,2,21,57301,59.3985501,24.6715307,-73,1557038196000,3.0,3.2261915,357.0,EDGE,,,,,,,
248,2,21,57301,59.3986864,24.6713911,-73,1557038202000,3.0,3.0816197,288.0,EDGE,,,,,,,
248,2,21,57301,59.3986969,24.6711301,-73,1557038207000,3.0,3.0760021,260.0,EDGE,,,,,,,
248,2,21,57301,59.3986645,24.6707659,-73,1557038213000,3.0,2.8255732,271.0,EDGE,,,,,,,
248,2,21,57301,59.3986156,24.6705563,-73,1557038219000,3.0,2.4004028,178.0,EDGE,,,,,,,
248,2,21,57302,59.3984229,24.6706135,-73,1557038225000,3.0,2.8547776,193.0,EDGE,,,,,,,
248,2,21,57302,59.3983155,24.6704224,-73,1557038230000,3.0,2.9034085,250.0,EDGE,,,,,,,
248,2,21,57302,59.398275,24.6701039,-73,1557038236000,3.0,2.9379003,251.0,EDGE,,,,,,,
248,2,21,57302,59.3982129,24.6697589,-73,1557038241000,3.0,3.1089041,245.0,EDGE,,,,,,,
248,2,21,57302,59.3981579,24.6693504,-73,1557038246000,3.0,3.5110285,255.0,EDGE,,,,,,,
248,2,21,57302,59.3981216,24.668972,-73,1557038251000,3.0,3.578561,265.0,EDGE,,,,,,,
248,2,21,57302,59.3980867,24.6685991,-73,1557038256000,3.0,3.8292043,251.0,EDGE,,,,,,,
248,2,21,57302,59.3980355,24.6682401,-73,1557038261000,3.0,3.867406,266.0,EDGE,,,,,,,
248,2,21,57302,59.3979624,24.6677343,-73,1557038267000,3.9,4.0039515,254.0,EDGE,,,,,,,
248,2,21,57302,59.3979216,24.6673517,-73,1557038272000,3.9,4.12977,258.0,EDGE,,,,,,,
248,2,21,57302,59.3978669,24.6669193,-73,1557038278000,3.0,4.1384225,245.0,EDGE,,,,,,,
248,2,21,57302,59.397758,24.6665906,-73,1557038284000,3.0,4.0152254,208.0,EDGE,,,,,,,
248,2,21,57302,59.3975967,24.6664206,-73,1557038290000,3.0,3.8124652,205.0,EDGE,,,,,,,
248,2,21,57302,59.3973929,24.6661925,-73,1557038296000,3.0,3.8741362,218.0,EDGE,,,,,,,
248,2,21,56829,59.3972104,24.6659875,-73,1557038302000,3.0,3.8477921,200.0,EDGE,,,,,,,
248,2,21,56829,59.397026,24.6659228,-73,1557038307000,3.0,3.8247943,153.0,EDGE,,,,,,,
248,2,21,56829,59.3968843,24.6661257,-73,1557038312000,3.0,3.8431604,118.0,EDGE,,,,,,,
248,2,21,56829,59.3968152,24.6665192,-73,1557038318000,3.0,3.6502693,96.0,EDGE,,,,,,,
248,2,21,56829,59.3968089,24.6668655,-73,1557038324000,3.0,3.5282474,86.0,EDGE,,,,,,,
248,2,21,56829,59.3968286,24.6671799,-73,1557038329000,3.0,3.4244158,92.0,EDGE,,,,,,,
248,2,21,56829,59.3967835,24.6674213,-73,1557038335000,3.0,2.7946777,98.0,EDGE,,,,,,,
248,2,21,57302,59.3967763,24.6676748,-73,1557038340000,3.0,0.046202067,79.0,EDGE,,,,,,,
248,2,21,57302,59.3967735,24.6677151,-73,1557038346000,3.0,0.015501308,79.0,EDGE,,,,,,,
