mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,2021,256287254,59.396669,24.667144,-86,1557037049999,3.0,0.007874603,209.0,LTE,3,,2021,322,,,
248,2,2021,256287254,59.3966701,24.6671426,-86,1557037055999,3.0,1.0029706,209.0,LTE,4,,2021,322,,,
248,2,2021,256287254,59.3967152,24.6671424,-80,1557037060999,3.0,1.8352551,340.0,LTE,4,,2021,322,,,
248,2,2021,256287254,59.3968585,24.6670426,-78,1557037066999,3.0,2.060101,262.0,LTE,4,,2021,322,,,
248,2,2021,256287254,59.3968713,24.6667712,-86,1557037072999,3.0,2.3905287,275.0,LTE,4,,2021,322,,,
248,2,2021,256336919,59.3968894,24.6664274,-85,1557037077999,3.0,2.8620732,280.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3969821,24.665414,-69,1557037090999,3.0,3.8552337,292.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3970512,24.6650954,-73,1557037095999,3.0,3.822199,293.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3971341,24.6647626,-75,1557037101999,3.5,3.6659331,296.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3972231,24.6644291,-75,1557037107999,3.0,3.5799901,302.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3973415,24.6640521,-86,1557037113999,3.0,3.7986157,296.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3974331,24.6640303,-85,1557037118999,3.0,3.4861343,36.0,LTE+,1,,2021,32,,,
248,2,2021,256336919,59.3975967,24.6641953,-77,1557037124999,3.0,3.2513182,27.0,LTE,2,,2021,32,,,
248,2,2021,256287254,59.3977587,24.6643071,-76,1557037130999,3.0,3.2766352,16.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3979583,24.6644231,-79,1557037136999,3.1,3.5038795,9.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.398118,24.6644702,-81,1557037141999,3.0,3.6562774,1.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3983341,24.664476,-88,1557037146999,3.0,3.8672316,1.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3985735,24.6644442,-85,1557037152999,3.0,3.7958796,355.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3987572,24.6645009,-87,1557037157999,3.0,3.789091,24.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3989338,24.6646717,-75,1557037163999,3.0,3.5174663,37.0,LTE+,4,,2021,322,,,
